County,Good,Moderate,Unhealthy,Very_Unhealthy,Year
"Albany County, NY",280,75,1,0,2000
"Bronx County, NY",125,215,2,0,2000
"Broome County, NY",62,39,0,0,2000
"Chautauqua County, NY",145,134,16,1,2000
"Chemung County, NY",326,34,1,0,2000
"Columbia County, NY",51,0,0,0,2000
"Dutchess County, NY",296,55,2,0,2000
"Erie County, NY",160,104,12,0,2000
"Essex County, NY",267,77,1,0,2000
"Franklin County, NY",44,0,0,0,2000
"Hamilton County, NY",333,27,1,0,2000
"Herkimer County, NY",346,14,1,0,2000
"Jefferson County, NY",229,22,1,0,2000
"Kings County, NY",282,73,1,0,2000
"Madison County, NY",330,31,1,0,2000
"Monroe County, NY",250,109,1,0,2000
"Nassau County, NY",276,84,0,0,2000
"New York County, NY",96,230,6,1,2000
"Niagara County, NY",274,82,2,0,2000
"Oneida County, NY",299,62,1,0,2000
"Onondaga County, NY",291,66,1,0,2000
"Orange County, NY",167,62,1,0,2000
"Putnam County, NY",326,26,1,0,2000
"Queens County, NY",204,147,2,1,2000
"Rensselaer County, NY",365,0,0,0,2000
"Richmond County, NY",204,98,9,1,2000
"St0 Lawrence County, NY",92,15,0,0,2000
"Saratoga County, NY",319,24,1,0,2000
"Schenectady County, NY",317,45,1,0,2000
"Steuben County, NY",228,77,0,0,2000
"Suffolk County, NY",248,100,3,2,2000
"Tompkins County, NY",297,40,0,0,2000
"Ulster County, NY",318,38,1,0,2000
"Wayne County, NY",305,25,1,0,2000
"Westchester County, NY",287,56,1,1,2000
"Albany County, NY",266,81,6,0,2001
"Bronx County, NY",134,193,2,0,2001
"Broome County, NY",71,37,0,0,2001
"Chautauqua County, NY",145,128,24,0,2001
"Chemung County, NY",293,54,1,0,2001
"Columbia County, NY",46,0,0,0,2001
"Dutchess County, NY",242,66,8,0,2001
"Erie County, NY",139,133,18,1,2001
"Essex County, NY",264,81,4,0,2001
"Franklin County, NY",337,0,0,0,2001
"Hamilton County, NY",311,42,2,0,2001
"Herkimer County, NY",326,28,0,0,2001
"Jefferson County, NY",165,48,15,2,2001
"Kings County, NY",277,77,0,0,2001
"Madison County, NY",293,54,2,0,2001
"Monroe County, NY",230,112,4,0,2001
"Nassau County, NY",265,91,0,0,2001
"New York County, NY",119,201,7,3,2001
"Niagara County, NY",271,67,8,1,2001
"Oneida County, NY",260,68,3,0,2001
"Onondaga County, NY",278,68,3,0,2001
"Orange County, NY",167,68,11,0,2001
"Putnam County, NY",294,46,8,1,2001
"Queens County, NY",181,162,3,0,2001
"Rensselaer County, NY",249,0,0,0,2001
"Richmond County, NY",156,83,7,2,2001
"St0 Lawrence County, NY",86,21,0,0,2001
"Saratoga County, NY",284,32,6,0,2001
"Schenectady County, NY",293,56,1,0,2001
"Steuben County, NY",222,105,0,0,2001
"Suffolk County, NY",255,85,6,2,2001
"Tompkins County, NY",278,59,1,0,2001
"Ulster County, NY",299,47,2,0,2001
"Wayne County, NY",312,28,4,0,2001
"Westchester County, NY",257,80,7,1,2001
"Albany County, NY",277,65,6,1,2002
"Bronx County, NY",153,182,8,0,2002
"Broome County, NY",73,32,0,0,2002
"Chautauqua County, NY",175,100,35,1,2002
"Chemung County, NY",291,49,4,0,2002
"Columbia County, NY",27,2,0,0,2002
"Dutchess County, NY",230,63,5,4,2002
"Erie County, NY",160,105,26,3,2002
"Essex County, NY",264,68,12,1,2002
"Franklin County, NY",355,2,0,0,2002
"Hamilton County, NY",312,35,3,0,2002
"Herkimer County, NY",327,25,1,0,2002
"Jefferson County, NY",153,50,10,3,2002
"Kings County, NY",291,67,1,0,2002
"Madison County, NY",288,47,3,0,2002
"Monroe County, NY",241,95,11,1,2002
"Nassau County, NY",284,76,1,0,2002
"New York County, NY",177,177,1,0,2002
"Niagara County, NY",263,77,16,0,2002
"Oneida County, NY",205,69,6,0,2002
"Onondaga County, NY",280,59,8,0,2002
"Orange County, NY",182,56,3,1,2002
"Oswego County, NY",35,0,0,0,2002
"Putnam County, NY",279,45,15,3,2002
"Queens County, NY",185,151,8,0,2002
"Rensselaer County, NY",284,39,11,3,2002
"Richmond County, NY",150,72,16,2,2002
"St0 Lawrence County, NY",68,17,1,0,2002
"Saratoga County, NY",222,30,6,0,2002
"Schenectady County, NY",286,61,4,0,2002
"Steuben County, NY",246,89,0,0,2002
"Suffolk County, NY",258,62,12,5,2002
"Tompkins County, NY",278,60,6,0,2002
"Ulster County, NY",294,52,1,0,2002
"Wayne County, NY",241,29,9,0,2002
"Westchester County, NY",261,54,14,2,2002
"Albany County, NY",298,58,2,0,2003
"Bronx County, NY",149,198,2,0,2003
"Broome County, NY",19,9,0,0,2003
"Chautauqua County, NY",201,109,15,2,2003
"Chemung County, NY",322,36,1,0,2003
"Columbia County, NY",43,0,0,0,2003
"Dutchess County, NY",287,49,0,0,2003
"Erie County, NY",174,127,16,1,2003
"Essex County, NY",275,72,7,0,2003
"Franklin County, NY",355,1,0,0,2003
"Hamilton County, NY",319,32,2,0,2003
